DATE,USALORSGPNOSTSAM
1976-01-01,98.761685109095
1976-02-01,98.9632449110269
1976-03-01,99.0943319932909
1976-04-01,99.1560395324934
1976-05-01,99.1602073960819
1976-06-01,99.123382557159
1976-07-01,99.0647183027721
1976-08-01,99.003046376318
1976-09-01,98.9554510063558
1976-10-01,98.9360005355857
1976-11-01,98.9569970453167
1976-12-01,99.0281165012088
1977-01-01,99.1525448194809
1977-02-01,99.3288501601043
1977-03-01,99.5488600410109
1977-04-01,99.7916186350943
1977-05-01,100.029658826041
1977-06-01,100.233568868693
1977-07-01,100.376885923979
1977-08-01,100.441339342195
1977-09-01,100.426342059622
1977-10-01,100.36386027631
1977-11-01,100.302333374267
1977-12-01,100.294157474838
1978-01-01,100.383508823461
1978-02-01,100.597172711783
1978-03-01,100.92826627388
1978-04-01,101.33346904014
1978-05-01,101.748300481565
1978-06-01,102.120115598882
1978-07-01,102.422897939379
1978-08-01,102.654244920709
1978-09-01,102.819171102482
1978-10-01,102.918899668449
1978-11-01,102.951876335112
1978-12-01,102.919641260744
1979-01-01,102.837608272782
1979-02-01,102.726364361951
1979-03-01,102.60679958727
1979-04-01,102.497652722623
1979-05-01,102.412448107092
1979-06-01,102.355986574006
1979-07-01,102.319373043979
1979-08-01,102.286548702946
1979-09-01,102.239565741664
1979-10-01,102.163789355504
1979-11-01,102.044099105429
1979-12-01,101.863401927934
1980-01-01,101.60453332051
1980-02-01,101.258061079439
1980-03-01,100.835635085599
1980-04-01,100.389203655389
1980-05-01,99.986377031945
1980-06-01,99.6884295577968
1980-07-01,99.5261286686062
1980-08-01,99.5087898735586
1980-09-01,99.6231718625882
1980-10-01,99.8391420023547
1980-11-01,100.11060193058
1980-12-01,100.386585434054
1981-01-01,100.618543747357
1981-02-01,100.770169661183
1981-03-01,100.830428753225
1981-04-01,100.817687511409
1981-05-01,100.763505052004
1981-06-01,100.687103985019
1981-07-01,100.57286778671
1981-08-01,100.389562184401
1981-09-01,100.1120696356
1981-10-01,99.7475716172556
1981-11-01,99.3211911227328
1981-12-01,98.8677032733171
1982-01-01,98.4276798383906
1982-02-01,98.0365802078297
1982-03-01,97.713140437222
1982-04-01,97.4443305091335
1982-05-01,97.2056408349944
1982-06-01,96.9767580501034
1982-07-01,96.7546220762147
1982-08-01,96.5489366465237
1982-09-01,96.3770326962381
1982-10-01,96.2574008665552
1982-11-01,96.2089315631125
1982-12-01,96.2461593961048
1983-01-01,96.3690731080187
1983-02-01,96.5712557589072
1983-03-01,96.8413413089156
1983-04-01,97.158266078543
1983-05-01,97.5003071920377
1983-06-01,97.8503676421035
1983-07-01,98.199072289199
1983-08-01,98.5423473692207
1983-09-01,98.8785913607778
1983-10-01,99.2057281210365
1983-11-01,99.5208264297089
1983-12-01,99.8199220467293
1984-01-01,100.098272052613
1984-02-01,100.349536473208
1984-03-01,100.566057760855
1984-04-01,100.740725514525
1984-05-01,100.867102109997
